TimeCET,pairs,interval,open,high,low,close,volume
2022-03-27 00:05:00,ANYUSDT,5,12.64,12.67,12.62,12.67,798.16
2022-03-27 00:10:00,ANYUSDT,5,12.66,12.67,12.66,12.67,134.68
2022-03-27 00:15:00,ANYUSDT,5,12.67,12.67,12.65,12.65,118.54
2022-03-27 00:20:00,ANYUSDT,5,12.66,12.7,12.66,12.7,1925.58
2022-03-27 00:25:00,ANYUSDT,5,12.7,12.71,12.69,12.7,211.64
2022-03-27 00:30:00,ANYUSDT,5,12.71,12.82,12.69,12.75,2441.07
2022-03-27 00:35:00,ANYUSDT,5,12.75,12.78,12.75,12.77,752.33
2022-03-27 00:40:00,ANYUSDT,5,12.77,12.77,12.73,12.75,336.69
2022-03-27 00:45:00,ANYUSDT,5,12.76,12.78,12.73,12.77,617.46
2022-03-27 00:50:00,ANYUSDT,5,12.77,12.77,12.66,12.7,2277.91
2022-03-27 00:55:00,ANYUSDT,5,12.7,12.72,12.63,12.7,1667.34
2022-03-27 01:00:00,ANYUSDT,5,12.7,12.71,12.68,12.68,240.51
2022-03-27 01:05:00,ANYUSDT,5,12.68,12.7,12.64,12.67,627.78
2022-03-27 01:10:00,ANYUSDT,5,12.67,12.69,12.63,12.63,1281.77
2022-03-27 01:15:00,ANYUSDT,5,12.64,12.67,12.63,12.66,496.24
2022-03-27 01:20:00,ANYUSDT,5,12.66,12.68,12.63,12.63,678.55
2022-03-27 01:25:00,ANYUSDT,5,12.64,12.68,12.63,12.67,1492.07
2022-03-27 01:30:00,ANYUSDT,5,12.67,12.68,12.62,12.63,1750.04
2022-03-27 01:35:00,ANYUSDT,5,12.63,12.65,12.61,12.62,2161.11
2022-03-27 01:40:00,ANYUSDT,5,12.61,12.67,12.61,12.66,990.44
2022-03-27 01:45:00,ANYUSDT,5,12.66,12.67,12.6,12.62,1035.58
2022-03-27 01:50:00,ANYUSDT,5,12.61,12.64,12.6,12.64,1497.52
2022-03-27 01:55:00,ANYUSDT,5,12.64,12.65,12.63,12.63,576.68
2022-03-27 03:00:00,ANYUSDT,5,12.62,12.64,12.6,12.6,2078.06
2022-03-27 03:05:00,ANYUSDT,5,12.6,12.61,12.58,12.61,952.82
2022-03-27 03:10:00,ANYUSDT,5,12.61,12.63,12.59,12.62,950.93
