,pairs
0,BTCUSDT
1,ETHUSDT
2,BNBUSDT
3,NEOUSDT
4,LTCUSDT
5,QTUMUSDT
6,ADAUSDT
7,XRPUSDT
8,EOSUSDT
9,IOTAUSDT
10,XLMUSDT
11,ONTUSDT
12,TRXUSDT
13,ETCUSDT
14,ICXUSDT
15,NULSUSDT
16,VETUSDT
17,LINKUSDT
18,WAVESUSDT
19,ONGUSDT
20,HOTUSDT
21,ZILUSDT
22,ZRXUSDT
23,FETUSDT
24,BATUSDT
25,XMRUSDT
26,ZECUSDT
27,IOSTUSDT
28,CELRUSDT
29,DASHUSDT
30,OMGUSDT
31,THETAUSDT
32,ENJUSDT
33,MITHUSDT
34,MATICUSDT
35,ATOMUSDT
36,TFUELUSDT
37,ONEUSDT
38,FTMUSDT
39,ALGOUSDT
40,GTOUSDT
41,DOGEUSDT
42,DUSKUSDT
43,ANKRUSDT
44,WINUSDT
45,COSUSDT
46,COCOSUSDT
47,MTLUSDT
48,TOMOUSDT
49,PERLUSDT
50,DENTUSDT
51,MFTUSDT
52,KEYUSDT
53,DOCKUSDT
54,WANUSDT
55,FUNUSDT
56,CVCUSDT
57,CHZUSDT
58,BANDUSDT
59,BUSDUSDT
60,BEAMUSDT
61,XTZUSDT
62,RENUSDT
63,RVNUSDT
64,HBARUSDT
65,NKNUSDT
66,STXUSDT
67,KAVAUSDT
68,ARPAUSDT
69,IOTXUSDT
70,RLCUSDT
71,CTXCUSDT
72,BCHUSDT
73,TROYUSDT
74,VITEUSDT
75,FTTUSDT
76,EURUSDT
77,OGNUSDT
78,DREPUSDT
79,TCTUSDT
80,WRXUSDT
81,BTSUSDT
82,LSKUSDT
83,BNTUSDT
84,LTOUSDT
85,AIONUSDT
86,MBLUSDT
87,COTIUSDT
88,STPTUSDT
89,WTCUSDT
90,DATAUSDT
91,SOLUSDT
92,CTSIUSDT
93,HIVEUSDT
94,CHRUSDT
95,GXSUSDT
96,ARDRUSDT
97,MDTUSDT
98,STMXUSDT
99,KNCUSDT
100,REPUSDT
101,LRCUSDT
102,PNTUSDT
103,COMPUSDT
104,SCUSDT
105,ZENUSDT
106,SNXUSDT
107,VTHOUSDT
108,DGBUSDT
109,GBPUSDT
110,SXPUSDT
111,MKRUSDT
112,DCRUSDT
113,STORJUSDT
114,MANAUSDT
115,AUDUSDT
116,YFIUSDT
117,BALUSDT
118,BLZUSDT
119,IRISUSDT
120,KMDUSDT
