,pairs
0,BTCUSDT
1,ETHUSDT
2,BNBUSDT
3,BCCUSDT
4,NEOUSDT
5,LTCUSDT
6,QTUMUSDT
7,ADAUSDT
8,XRPUSDT
9,EOSUSDT
10,TUSDUSDT
11,IOTAUSDT
12,XLMUSDT
13,ONTUSDT
14,TRXUSDT
15,ETCUSDT
16,ICXUSDT
17,VENUSDT
18,NULSUSDT
19,VETUSDT
20,PAXUSDT
21,BCHABCUSDT
22,BCHSVUSDT
23,LINKUSDT
24,WAVESUSDT
25,BTTUSDT
26,ONGUSDT
27,HOTUSDT
28,ZILUSDT
29,ZRXUSDT
30,FETUSDT
31,BATUSDT
32,XMRUSDT
33,ZECUSDT
34,IOSTUSDT
35,CELRUSDT
36,DASHUSDT
37,NANOUSDT
38,OMGUSDT
39,THETAUSDT
40,ENJUSDT
41,MITHUSDT
42,MATICUSDT
43,ATOMUSDT
44,TFUELUSDT
45,ONEUSDT
46,FTMUSDT
47,ALGOUSDT
48,GTOUSDT
49,ERDUSDT
50,DOGEUSDT
51,DUSKUSDT
52,ANKRUSDT
53,WINUSDT
54,COSUSDT
55,NPXSUSDT
56,COCOSUSDT
57,MTLUSDT
58,TOMOUSDT
59,PERLUSDT
60,DENTUSDT
61,MFTUSDT
62,KEYUSDT
63,STORMUSDT
64,DOCKUSDT
65,WANUSDT
66,FUNUSDT
67,CVCUSDT
68,CHZUSDT
69,BANDUSDT
70,BUSDUSDT
71,BEAMUSDT
72,XTZUSDT
73,RENUSDT
74,RVNUSDT
75,HCUSDT
76,HBARUSDT
77,NKNUSDT
78,STXUSDT
79,KAVAUSDT
80,ARPAUSDT
81,IOTXUSDT
82,RLCUSDT
83,MCOUSDT
84,CTXCUSDT
85,BCHUSDT
86,TROYUSDT
87,VITEUSDT
88,FTTUSDT
89,EURUSDT
90,OGNUSDT
91,DREPUSDT
92,TCTUSDT
93,WRXUSDT
94,BTSUSDT
95,LSKUSDT
96,BNTUSDT
97,LTOUSDT
98,STRATUSDT
99,AIONUSDT
100,MBLUSDT
101,COTIUSDT
102,STPTUSDT
103,WTCUSDT
104,DATAUSDT
105,XZCUSDT
106,SOLUSDT
107,CTSIUSDT
108,HIVEUSDT
109,CHRUSDT
110,GXSUSDT
111,ARDRUSDT
112,LENDUSDT
113,MDTUSDT
114,STMXUSDT
115,KNCUSDT
116,REPUSDT
117,LRCUSDT
118,PNTUSDT
119,COMPUSDT
120,BKRWUSDT
