,index,pairs,Prioritaet,TechnAnalyse
25,32,XMRUSDT,1,BUY
58,69,BANDUSDT,2,BUY
188,209,CAKEUSDT,3,BUY
198,219,SUPERUSDT,4,BUY
258,281,CVPUSDT,5,BUY
209,230,BAKEUSDT,6,BUY
224,247,PHAUSDT,7,BUY
204,225,TLMUSDT,8,BUY
107,125,DGBUSDT,9,BUY
278,302,AMPUSDT,10,SELL
75,89,EURUSDT,11,SELL
283,307,SANTOSUSDT,12,STRONG_BUY
274,298,PORTOUSDT,13,BUY
50,60,DENTUSDT,14,BUY
130,149,PAXGUSDT,15,BUY
159,179,CTKUSDT,16,BUY
77,91,DREPUSDT,17,BUY
149,169,FLMUSDT,18,BUY
228,251,C98USDT,19,BUY
44,53,WINUSDT,20,BUY
132,151,TRBUSDT,21,STRONG_BUY
297,323,GLMRUSDT,22,SELL
60,72,XTZUSDT,23,BUY
150,170,ORNUSDT,24,BUY
169,189,SKLUSDT,25,BUY
279,303,PLAUSDT,26,BUY
220,242,GTCUSDT,27,BUY
296,322,IMXUSDT,28,BUY
157,177,INJUSDT,29,BUY
114,133,AUDUSDT,30,BUY
66,79,KAVAUSDT,31,BUY
125,144,OCEANUSDT,32,BUY
263,286,LAZIOUSDT,33,BUY
287,312,FXSUSDT,34,BUY
261,284,BETAUSDT,35,BUY
32,40,ENJUSDT,36,BUY
49,59,PERLUSDT,37,BUY
186,207,SFPUSDT,38,BUY
38,46,FTMUSDT,39,BUY
80,94,BTSUSDT,40,BUY
68,81,IOTXUSDT,41,BUY
43,52,ANKRUSDT,42,BUY
155,175,NEARUSDT,43,BUY
2,2,BNBUSDT,44,BUY
183,204,TWTUSDT,45,BUY
266,289,AUCTIONUSDT,46,BUY
205,226,BTGUSDT,9999,BUY
206,227,MIRUSDT,9999,NEUTRAL
221,243,TORNUSDT,9999,BUY
203,224,PUNDIXUSDT,9999,BUY
